n = 50, OPT(1, n) = 15 (Done in 0.00143821 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.00953565 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.0318281 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.0741167 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.144444 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.250996 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.39775 seconds)
n = 400, OPT(1, n) = 140 (Done in 0.593947 seconds)
n = 450, OPT(1, n) = 157 (Done in 0.848402 seconds)
n = 500, OPT(1, n) = 176 (Done in 1.1581 seconds)
n = 550, OPT(1, n) = 193 (Done in 1.5415 seconds)
n = 600, OPT(1, n) = 210 (Done in 2.0098 seconds)
n = 650, OPT(1, n) = 229 (Done in 2.57825 seconds)
n = 700, OPT(1, n) = 247 (Done in 3.21669 seconds)
n = 750, OPT(1, n) = 264 (Done in 3.93544 seconds)
n = 800, OPT(1, n) = 285 (Done in 4.76445 seconds)
n = 850, OPT(1, n) = 304 (Done in 5.73056 seconds)
n = 900, OPT(1, n) = 322 (Done in 6.8554 seconds)
n = 950, OPT(1, n) = 340 (Done in 8.11181 seconds)
n = 1000, OPT(1, n) = 359 (Done in 9.4215 seconds)
n = 1200, OPT(1, n) = 429 (Done in 16.2418 seconds)
n = 1400, OPT(1, n) = 503 (Done in 25.8695 seconds)
n = 1600, OPT(1, n) = 574 (Done in 38.5968 seconds)
n = 1800, OPT(1, n) = 645 (Done in 55.3002 seconds)
n = 2000, OPT(1, n) = 716 (Done in 76.172 seconds)
