n = 50, OPT(1, n) = 15 (Done in 0.00131358 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.00587523 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.0190092 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.0428545 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.106104 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.265695 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.223682 seconds)
n = 400, OPT(1, n) = 140 (Done in 0.338959 seconds)
n = 450, OPT(1, n) = 157 (Done in 0.474004 seconds)
n = 500, OPT(1, n) = 176 (Done in 0.679602 seconds)
n = 550, OPT(1, n) = 193 (Done in 0.867621 seconds)
n = 600, OPT(1, n) = 210 (Done in 1.14656 seconds)
n = 650, OPT(1, n) = 229 (Done in 1.43048 seconds)
n = 700, OPT(1, n) = 247 (Done in 1.78264 seconds)
n = 750, OPT(1, n) = 264 (Done in 2.19984 seconds)
n = 800, OPT(1, n) = 285 (Done in 2.66866 seconds)
n = 850, OPT(1, n) = 304 (Done in 3.20613 seconds)
n = 900, OPT(1, n) = 322 (Done in 3.80094 seconds)
n = 950, OPT(1, n) = 340 (Done in 4.46409 seconds)
n = 1000, OPT(1, n) = 359 (Done in 5.20805 seconds)
n = 1200, OPT(1, n) = 429 (Done in 8.91903 seconds)
n = 1400, OPT(1, n) = 503 (Done in 17.189 seconds)
n = 1600, OPT(1, n) = 574 (Done in 21.2615 seconds)
n = 1800, OPT(1, n) = 645 (Done in 30.2643 seconds)
n = 2000, OPT(1, n) = 716 (Done in 41.5063 seconds)
