n = 50, OPT(1, n) = 15 (Done in 0.00236646 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.0185884 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.0613856 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.146777 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.291497 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.498365 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.786174 seconds)
n = 400, OPT(1, n) = 140 (Done in 1.17241 seconds)
n = 450, OPT(1, n) = 157 (Done in 1.68319 seconds)
n = 500, OPT(1, n) = 176 (Done in 2.31897 seconds)
n = 550, OPT(1, n) = 193 (Done in 3.06595 seconds)
n = 600, OPT(1, n) = 210 (Done in 4.02743 seconds)
n = 650, OPT(1, n) = 229 (Done in 5.11593 seconds)
n = 700, OPT(1, n) = 247 (Done in 6.3495 seconds)
n = 750, OPT(1, n) = 264 (Done in 7.86225 seconds)
n = 800, OPT(1, n) = 285 (Done in 9.53145 seconds)
n = 850, OPT(1, n) = 304 (Done in 11.5941 seconds)
n = 900, OPT(1, n) = 322 (Done in 13.7235 seconds)
n = 950, OPT(1, n) = 340 (Done in 16.1107 seconds)
n = 1000, OPT(1, n) = 359 (Done in 18.9295 seconds)
n = 1200, OPT(1, n) = 429 (Done in 32.4137 seconds)
n = 1400, OPT(1, n) = 503 (Done in 51.7541 seconds)
n = 1600, OPT(1, n) = 574 (Done in 77.3295 seconds)
n = 1800, OPT(1, n) = 645 (Done in 109.744 seconds)
n = 2000, OPT(1, n) = 716 (Done in 150.204 seconds)
