n = 50, OPT(1, n) = 15 (Done in 0.00145675 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.00981634 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.0325895 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.0773843 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.178492 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.264374 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.412097 seconds)
n = 400, OPT(1, n) = 140 (Done in 0.613072 seconds)
n = 450, OPT(1, n) = 157 (Done in 0.8722 seconds)
n = 500, OPT(1, n) = 176 (Done in 1.21343 seconds)
n = 550, OPT(1, n) = 193 (Done in 1.59183 seconds)
n = 600, OPT(1, n) = 210 (Done in 2.06566 seconds)
n = 650, OPT(1, n) = 229 (Done in 2.62721 seconds)
n = 700, OPT(1, n) = 247 (Done in 3.28511 seconds)
n = 750, OPT(1, n) = 264 (Done in 4.08131 seconds)
n = 800, OPT(1, n) = 285 (Done in 4.92409 seconds)
n = 850, OPT(1, n) = 304 (Done in 5.91774 seconds)
n = 900, OPT(1, n) = 322 (Done in 7.01563 seconds)
n = 950, OPT(1, n) = 340 (Done in 8.28512 seconds)
n = 1000, OPT(1, n) = 359 (Done in 9.73259 seconds)
n = 1200, OPT(1, n) = 429 (Done in 16.6049 seconds)
n = 1400, OPT(1, n) = 503 (Done in 26.6348 seconds)
n = 1600, OPT(1, n) = 574 (Done in 39.7576 seconds)
n = 1800, OPT(1, n) = 645 (Done in 56.3997 seconds)
n = 2000, OPT(1, n) = 716 (Done in 77.7793 seconds)
