n = 50, OPT(1, n) = 15 (Done in 0.0014809 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.00988592 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.0324456 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.0773546 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.181797 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.258385 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.416398 seconds)
n = 400, OPT(1, n) = 140 (Done in 0.611432 seconds)
n = 450, OPT(1, n) = 157 (Done in 0.870858 seconds)
n = 500, OPT(1, n) = 176 (Done in 1.19301 seconds)
n = 550, OPT(1, n) = 193 (Done in 1.59012 seconds)
n = 600, OPT(1, n) = 210 (Done in 2.06203 seconds)
n = 650, OPT(1, n) = 229 (Done in 2.62404 seconds)
n = 700, OPT(1, n) = 247 (Done in 3.27899 seconds)
n = 750, OPT(1, n) = 264 (Done in 4.04603 seconds)
n = 800, OPT(1, n) = 285 (Done in 4.96168 seconds)
n = 850, OPT(1, n) = 304 (Done in 5.92275 seconds)
n = 900, OPT(1, n) = 322 (Done in 6.99602 seconds)
n = 950, OPT(1, n) = 340 (Done in 8.22211 seconds)
n = 1000, OPT(1, n) = 359 (Done in 9.72373 seconds)
n = 1200, OPT(1, n) = 429 (Done in 16.5995 seconds)
n = 1400, OPT(1, n) = 503 (Done in 26.4754 seconds)
n = 1600, OPT(1, n) = 574 (Done in 39.602 seconds)
n = 1800, OPT(1, n) = 645 (Done in 56.6161 seconds)
n = 2000, OPT(1, n) = 716 (Done in 77.3254 seconds)
