n = 50, OPT(1, n) = 15 (Done in 0.00129258 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.00573652 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.0182575 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.0420896 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.101335 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.25744 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.214705 seconds)
n = 400, OPT(1, n) = 140 (Done in 0.324036 seconds)
n = 450, OPT(1, n) = 157 (Done in 0.464904 seconds)
n = 500, OPT(1, n) = 176 (Done in 0.658746 seconds)
n = 550, OPT(1, n) = 193 (Done in 0.832005 seconds)
n = 600, OPT(1, n) = 210 (Done in 1.09319 seconds)
n = 650, OPT(1, n) = 229 (Done in 1.37373 seconds)
n = 700, OPT(1, n) = 247 (Done in 1.73373 seconds)
n = 750, OPT(1, n) = 264 (Done in 2.11839 seconds)
n = 800, OPT(1, n) = 285 (Done in 2.55513 seconds)
n = 850, OPT(1, n) = 304 (Done in 3.09402 seconds)
n = 900, OPT(1, n) = 322 (Done in 3.64215 seconds)
n = 950, OPT(1, n) = 340 (Done in 4.29289 seconds)
n = 1000, OPT(1, n) = 359 (Done in 5.02924 seconds)
n = 1200, OPT(1, n) = 429 (Done in 8.65363 seconds)
n = 1400, OPT(1, n) = 503 (Done in 16.6792 seconds)
n = 1600, OPT(1, n) = 574 (Done in 20.5258 seconds)
n = 1800, OPT(1, n) = 645 (Done in 29.4221 seconds)
n = 2000, OPT(1, n) = 716 (Done in 40.252 seconds)
