n = 50, OPT(1, n) = 15 (Done in 0.00135311 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.00350315 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.0104424 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.0232701 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.0438716 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.0745262 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.116171 seconds)
n = 400, OPT(1, n) = 140 (Done in 0.171945 seconds)
n = 450, OPT(1, n) = 157 (Done in 0.243241 seconds)
n = 500, OPT(1, n) = 176 (Done in 0.334782 seconds)
n = 550, OPT(1, n) = 193 (Done in 0.439371 seconds)
n = 600, OPT(1, n) = 210 (Done in 0.56849 seconds)
n = 650, OPT(1, n) = 229 (Done in 1.34415 seconds)
n = 700, OPT(1, n) = 247 (Done in 0.913459 seconds)
n = 750, OPT(1, n) = 264 (Done in 1.11576 seconds)
n = 800, OPT(1, n) = 285 (Done in 1.33787 seconds)
n = 850, OPT(1, n) = 304 (Done in 2.42872 seconds)
n = 900, OPT(1, n) = 322 (Done in 2.0627 seconds)
n = 950, OPT(1, n) = 340 (Done in 2.23359 seconds)
n = 1000, OPT(1, n) = 359 (Done in 2.62368 seconds)
n = 1200, OPT(1, n) = 429 (Done in 4.515 seconds)
n = 1400, OPT(1, n) = 503 (Done in 11.4432 seconds)
n = 1600, OPT(1, n) = 574 (Done in 10.8025 seconds)
n = 1800, OPT(1, n) = 645 (Done in 15.1399 seconds)
n = 2000, OPT(1, n) = 716 (Done in 20.9458 seconds)
