n = 50, OPT(1, n) = 15 (Done in 0.0022346 seconds)
n = 100, OPT(1, n) = 33 (Done in 0.0177189 seconds)
n = 150, OPT(1, n) = 49 (Done in 0.0588777 seconds)
n = 200, OPT(1, n) = 67 (Done in 0.141 seconds)
n = 250, OPT(1, n) = 85 (Done in 0.277343 seconds)
n = 300, OPT(1, n) = 103 (Done in 0.483802 seconds)
n = 350, OPT(1, n) = 122 (Done in 0.764782 seconds)
n = 400, OPT(1, n) = 140 (Done in 1.14592 seconds)
n = 450, OPT(1, n) = 157 (Done in 1.63616 seconds)
n = 500, OPT(1, n) = 176 (Done in 2.22713 seconds)
n = 550, OPT(1, n) = 193 (Done in 2.96708 seconds)
n = 600, OPT(1, n) = 210 (Done in 3.89076 seconds)
n = 650, OPT(1, n) = 229 (Done in 4.93651 seconds)
n = 700, OPT(1, n) = 247 (Done in 6.24314 seconds)
n = 750, OPT(1, n) = 264 (Done in 7.63383 seconds)
n = 800, OPT(1, n) = 285 (Done in 9.31899 seconds)
n = 850, OPT(1, n) = 304 (Done in 11.2633 seconds)
n = 900, OPT(1, n) = 322 (Done in 13.1604 seconds)
n = 950, OPT(1, n) = 340 (Done in 15.5491 seconds)
n = 1000, OPT(1, n) = 359 (Done in 18.0811 seconds)
n = 1200, OPT(1, n) = 429 (Done in 31.3024 seconds)
n = 1400, OPT(1, n) = 503 (Done in 49.9187 seconds)
n = 1600, OPT(1, n) = 574 (Done in 74.4973 seconds)
n = 1800, OPT(1, n) = 645 (Done in 106.329 seconds)
n = 2000, OPT(1, n) = 716 (Done in 145.933 seconds)
